not_crawl_id,popularity
26667056,744
5319835,745
26269510,746
26661191,747
30263995,748
30140571,749
1308857,750
1297756,751
27027913,752
24879839,753
26992383,754
10512661,755
3071604,756
6879185,757
3338862,758
2213597,759
1293013,760
26997663,761
25827963,762
23788440,763
24751754,764
1291584,765
27002635,766
26410594,767
26354336,768
30329892,769
26909790,770
27107140,771
26266072,772
6126442,773
26235346,774
4191644,775
3025447,776
27198855,777
26759539,778
25890005,779
1428878,780
2363506,781
26658568,782
25818101,783
11524967,784
1441602,785
26430636,786
1293702,787
1400868,788
24529353,789
2161696,790
27114417,791
1308076,792
10604486,793
24815950,794
1293353,795
25777636,796
11614603,797
25837262,798
5996801,799
1305355,800
20266753,801
11810348,802
1298443,803
1291879,804
3434070,805
4271894,806
3072124,807
3804629,808
1291824,809
1292226,810
25786077,811
4135710,812
1300300,813
25823132,814
1297570,815
2257732,816
1303173,817
3771562,818
26352445,819
1308804,820
30289194,821
4876722,822
26602900,823
7051830,824
1304643,825
26628329,826
25890017,827
2063914,828
34800651,829
25954475,830
25995508,831
2222996,832
1303037,833
5153254,834
3412882,835
11803087,836
2300586,837
6011805,838
26586766,839
1419936,840
3205624,841
6124012,842
3445906,843
1419969,844
1296629,845
1305333,846
27114416,847
1299288,848
1308843,849
2357703,850
25804790,851
2049435,852
26004132,853
20513061,854
1299059,855
1297763,856
26346327,857
20513059,858
1325958,859
1439579,860
3230459,861
1300117,862
1939414,863
26094129,864
1305265,865
5194471,866
30210691,867
3006309,868
16475702,869
34786971,870
1309201,871
23331914,872
1300555,873
25875021,874
10757577,875
1292217,876
1309016,877
30241301,878
2279152,879
25919910,880
3726072,881
20326665,882
1309103,883
26741061,884
26691361,885
1395091,886
3001077,887
26611076,888
5323957,889
25920885,890
1306123,891
2124703,892
25757186,893
33404726,894
1292434,895
1300868,896
27109679,897
1907464,898
2998270,899
2027938,900
10604892,901
2365260,902
27073234,903
1292704,904
11502973,905
4807924,906
1296909,907
1827955,908
1293323,909
26742730,910
10537853,911
1291581,912
5977835,913
20451290,914
1298522,915
26654498,916
10833923,917
26333560,918
1292233,919
3824672,920
4176542,921
26140241,922
4724739,923
1299765,924
25907029,925
1857099,926
1292329,927
25825412,928
2357707,929
1428602,930
1297909,931
1295064,932
30258631,933
1292528,934
19973815,935
1291839,936
26788667,937
1945330,938
1299745,939
2357711,940
3993588,941
2297265,942
1308865,943
26696879,944
26606242,945
6860160,946
1465829,947
26303622,948
22266126,949
1308722,950
1292506,951
2357701,952
3914513,953
3731581,954
26596486,955
1418605,956
1293475,957
10726941,958
25835293,959
4009651,960
1297018,961
30135113,962
5317291,963
25798131,964
26633257,965
26752547,966
2357713,967
1947089,968
26274910,969
10535568,970
1294417,971
30198539,972
1295865,973
4822848,974
1418752,975
1308575,976
1937502,977
1302678,978
3230115,979
1400665,980
5153329,981
1302987,982
6007281,983
1890784,984
1307354,985
1295229,986
11610281,987
6080775,988
3743114,989
26994789,990
1950525,991
1309059,992
6424814,993
1293908,994
25755645,995
1304022,996
1292208,997
3530403,998
1306951,999
1294561,1000
10604893,1001
2357699,1002
1292062,1003
26794701,1004
34957970,1005
1302977,1006
10598440,1007
6872273,1008
30402296,1009
27073291,1010
2357719,1011
1293929,1012
2132473,1013
25932086,1014
26683421,1015
11584016,1016
6873736,1017
3387546,1018
2124586,1019
27172891,1020
1291868,1021
27065898,1022
1302476,1023
1308753,1024
1304624,1025
2357717,1026
1309220,1027
3626416,1028
4160540,1029
1972729,1030
1301459,1031
1766086,1032
3036473,1033
1305725,1034
26694988,1035
25955779,1036
3217149,1037
1329950,1038
3737102,1039
26640371,1040
5422105,1041
1293181,1042
1895120,1043
26354526,1044
5964718,1045
25709273,1046
10344754,1047
1307389,1048
1293173,1049
1308776,1050
1308747,1051
1410556,1052
25823833,1053
1296436,1054
5502697,1055
1298898,1056
25926267,1057
1293422,1058
10545939,1059
1388216,1060
26351812,1061
3178770,1062
1291992,1063
3072086,1064
26888905,1065
11443314,1066
5908478,1067
1584750,1068
25792690,1069
25911595,1070
3279080,1071
1307323,1072
1293460,1073
20388223,1074
6984051,1075
25945280,1076
1295340,1077
34926135,1078
34930755,1079
27597250,1080
26437223,1081
27045860,1082
30299356,1083
4319218,1084
25908042,1085
26279433,1086
22266012,1087
1292214,1088
25924056,1089
1300613,1090
20444530,1091
26648249,1092
26284595,1093
24751757,1094
1885124,1095
3036478,1096
26630714,1097
3670447,1098
1300303,1099
4826419,1100
1292624,1101
20020577,1102
1293120,1103
26729868,1104
1295242,1105
25794212,1106
1304726,1107
26760160,1108
1920805,1109
1765009,1110
1293530,1111
1433360,1112
3291930,1113
4051753,1114
1309052,1115
25713408,1116
1304642,1117
1777612,1118
1433990,1119
22265687,1120
27132510,1121
5364905,1122
1292728,1123
1292895,1124
1303203,1125
1301198,1126
1309172,1127
1299327,1128
27040737,1129
24860563,1130
1291856,1131
3546019,1132
1309021,1133
4924142,1134
